node.id;name;latency;optimized;maximal;instanceCompatible
service:prov:google;Standard provisioned space;LOW;THROUGHPUT;64000;true
service:prov:google;SSD provisioned space;LOWEST;IOPS;64000;true
service:prov:google;Snapshot storage;HIGH;THROUGHPUT;;
service:prov:google;Image Storage;HIGH;;;
