type.name;cost;instance.name;os;license;costCpu;costRam
Default;0.8264;n1-standard-8;WINDOWS;SQL Server Web;;
Default;0.9288;n1-highmem-8;WINDOWS;SQL Server Web;;
Default;1.44;n1-highcpu-16;WINDOWS;SQL Server Web;;
Default;1.6528;n1-standard-16;WINDOWS;SQL Server Web;;
Default;1.8576;n1-highmem-16;WINDOWS;SQL Server Web;;
Default;2.88;n1-highcpu-32;WINDOWS;SQL Server Web;;
Default;3.3056;n1-standard-32;WINDOWS;SQL Server Web;;
Default;3.7152;n1-highmem-32;WINDOWS;SQL Server Web;;
Default;5.76;n1-highcpu-64;WINDOWS;SQL Server Web;;
Default;6.6112;n1-standard-64;WINDOWS;SQL Server Web;;
Default;8.144;n1-highmem-64;WINDOWS;SQL Server Web;;
Default;0.6866;f1-micro;WINDOWS;SQL Server Standard;;
Default;0.7065;g1-small;WINDOWS;SQL Server Standard;;
Default;0.7503;n1-standard-1;WINDOWS;SQL Server Standard;;
Default;0.816;n1-highcpu-2;WINDOWS;SQL Server Standard;;
Default;0.8426;n1-standard-2;WINDOWS;SQL Server Standard;;
Default;0.8682;n1-highmem-2;WINDOWS;SQL Server Standard;;
Default;0.974;n1-highcpu-4;WINDOWS;SQL Server Standard;;
Default;1.0272;n1-standard-4;WINDOWS;SQL Server Standard;;
Default;1.0784;n1-highmem-4;WINDOWS;SQL Server Standard;;
Default;1.948;n1-highcpu-8;WINDOWS;SQL Server Standard;;
Default;2.0544;n1-standard-8;WINDOWS;SQL Server Standard;;
Default;2.1568;n1-highmem-8;WINDOWS;SQL Server Standard;;
Default;3.896;n1-highcpu-16;WINDOWS;SQL Server Standard;;
Default;4.1088;n1-standard-16;WINDOWS;SQL Server Standard;;
Default;4.3136;n1-highmem-16;WINDOWS;SQL Server Standard;;
Default;7.792;n1-highcpu-32;WINDOWS;SQL Server Standard;;
Default;8.2176;n1-standard-32;WINDOWS;SQL Server Standard;;
Default;8.6272;n1-highmem-32;WINDOWS;SQL Server Standard;;
Default;15.584;n1-highcpu-64;WINDOWS;SQL Server Standard;;
Default;16.4352;n1-standard-64;WINDOWS;SQL Server Standard;;
Default;17.968;n1-highmem-64;WINDOWS;SQL Server Standard;;
Preemptible;0.0039;f1-micro;LINUX;;;
Preemptible;0.0077;g1-small;LINUX;;;
Preemptible;0.011;n1-standard-1;LINUX;;;
Preemptible;0.0165;n1-highcpu-2;LINUX;;;
Preemptible;0.022;n1-standard-2;LINUX;;;
Preemptible;0.0275;n1-highmem-2;LINUX;;;
Preemptible;0.033;n1-highcpu-4;LINUX;;;
Preemptible;0.044;n1-standard-4;LINUX;;;
Preemptible;0.055;n1-highmem-4;LINUX;;;
Preemptible;0.066;n1-highcpu-8;LINUX;;;
Preemptible;0.088;n1-standard-8;LINUX;;;
Preemptible;0.11;n1-highmem-8;LINUX;;;
Preemptible;0.132;n1-highcpu-16;LINUX;;;
Preemptible;0.176;n1-standard-16;LINUX;;;
Preemptible;0.22;n1-highmem-16;LINUX;;;
Preemptible;0.264;n1-highcpu-32;LINUX;;;
Preemptible;0.352;n1-standard-32;LINUX;;;
Preemptible;0.44;n1-highmem-32;LINUX;;;
Preemptible;0.528;n1-highcpu-64;LINUX;;;
Preemptible;0.704;n1-standard-64;LINUX;;;
Preemptible;0.88;n1-highmem-64;LINUX;;;
Preemptible;0.0239;f1-micro;WINDOWS;;;
Preemptible;0.0277;g1-small;WINDOWS;;;
Preemptible;0.051;n1-standard-1;WINDOWS;;;
Preemptible;0.0965;n1-highcpu-2;WINDOWS;;;
Preemptible;0.102;n1-standard-2;WINDOWS;;;
Preemptible;0.1075;n1-highmem-2;WINDOWS;;;
Preemptible;0.193;n1-highcpu-4;WINDOWS;;;
Preemptible;0.204;n1-standard-4;WINDOWS;;;
Preemptible;0.215;n1-highmem-4;WINDOWS;;;
Preemptible;0.386;n1-highcpu-8;WINDOWS;;;
Preemptible;0.408;n1-standard-8;WINDOWS;;;
